,city,lat,lng,country,iso2
137,Simli Murārpur,25.5792,85.2401,India,IN
138,Sonāwān,25.5445,85.2387,India,IN
139,Devanandapur,22.9326,88.3729,India,IN
140,Tribeni,22.9867,88.3987,India,IN
141,Huttanhalli,13.1651,77.6512,India,IN
142,Nathupur,25.5163,85.2544,India,IN
143,Bāli,25.481,85.2227,India,IN
144,Vājarhalli,13.1022,77.4111,India,IN
145,Alija Kotla,17.2333,78.55,India,IN
146,Saino,25.1134,87.0108,India,IN
147,Shekhpura,25.5725,85.1428,India,IN
148,Cāchohalli,13.001,77.4717,India,IN
149,Andheri,19.2104,73.0464,India,IN
150,Nārāyanpur Kola,25.1293,87.0076,India,IN
151,Gyan Chak,25.5496,85.2423,India,IN
152,Kasgatpur,13.1101,77.5045,India,IN
153,Kitanelli,13.0095,77.4191,India,IN
154,Harchandi,25.1,87.0442,India,IN
155,Santoshpur,22.465,88.2193,India,IN
156,Bendravādi,12.3636,76.9137,India,IN
157,Kodagihalli,12.9771,77.4651,India,IN
158,Harna Buzurg,25.0981,87.0148,India,IN
159,Mailanhalli,13.1863,77.6963,India,IN
160,Sultānpur,25.5248,85.2507,India,IN
161,Adakimāranhalli,13.0633,77.4417,India,IN
